,Hfree,OmegaARin,RFin,alk,alk0,alk_dic,aou,boxy,csal,dic,fH,fHout,nit,osat,pCO2in,pHin,pHout,pc,ph,phos,sdic,sigma,spice,temp,theta
surf_slope,,-0.022073560391137333,0.02236400639590679,-5.999949777654932,-5.2609869414686665,-1.7697966034833117,,,-0.08891076280305528,-4.151835491724124,-0.0005809705598313419,-0.00012998564202189138,,,2.288482100251142,-0.0028524243236777488,,-0.06484603416718421,,,0.8666035206275424,-0.10559943796647894,,0.12040202763781369,0.12041394650000599
nptw_slope,0.00016477956423701387,-0.05739531004864941,0.10754001296394147,-4.136943060903767,-2.555679297504891,-5.084352968995602,2.3936669473733825,-1.9982147281897704,-0.05785135841860687,,0.0004601213492445079,-8.509913629264697e-05,0.13453265059669617,0.4052284273064312,6.816132528380949,-0.006433968799107521,-0.008719106954005107,,-0.008783324311450234,0.014827036371891091,4.521973896401096,,-0.08421460670984163,-0.14698081200046112,-0.1469033034088127
ssm_slope,0.00017919319132142327,-0.022969123830380318,0.09465511722542035,,,-2.647734966843177,,,,3.0916308646219437,,,,,8.665002648206519,-0.00672313589147905,-0.0062984899871983005,,-0.005773316437827259,0.02075879802919115,2.8435320110620688,,,,
npiw_slope,,,,,,,,,,1.3961364334377864,,,,,,,,,,,,,,,
aaiw_slope,,,,,,,-1.1594163983067212,,,,,,,,,,,,,-0.009672923947213759,,,,,
