,Hfree,OmegaARin,RFin,alk,alk0,alk_dic,aou,boxy,csal,dic,doc,fH,fHout,nit,osat,pCO2in,pHin,pHout,ph,phos,po,salk,sdic,sigma,sil,spice,temp,theta
surf_err,1.5725186686732541e-06,0.0007683647948753809,0.000977150417240683,0.11617608961686063,0.09073697136172955,0.06062032245353856,,,0.001535487759495822,0.1050059580567518,,,2.2521368902298316e-06,,0.014522059912813093,0.08442541188911167,9.133657426938863e-05,0.00010764711528176545,9.700145721217879e-05,,,0.04134464747712427,0.048017743547877696,0.002162973002892757,0.002942642156688848,0.0013601109724299552,,
nptw_err,2.768385435997386e-06,0.0011167850338208393,0.0017595510144912,0.07819280038724098,0.04377760368742214,0.11011463954925794,,,0.0007365009654125531,0.06625449496388235,,7.748074428451572e-06,1.085286373329002e-06,,0.01539905539122227,0.14560393595500232,0.000152605810951829,0.00016620059447540204,0.00015836950686127078,0.000425128308222739,0.055691604944374015,,0.08424613314449605,,,0.001112695462334147,0.002253680233505335,0.00224525165167317
ssm_err,6.524416763443538e-06,0.0009883756236119343,0.0033887108481959246,0.06024978497075424,0.02839314616034327,0.10926294023077018,0.08694881408886292,0.08149024767186631,0.0005187744307399362,0.09011014189429162,0.08267434500499271,1.1436825620835498e-05,7.504548472580291e-07,0.00951119329434261,,0.27574624346164117,0.00021365860549016932,0.00022767751654127898,0.00026004212453451946,,0.09091726379682845,0.049968685704096814,0.11015914455612215,,0.009740673099397485,0.001098697693237289,0.0033074280731670335,0.0033024957993303193
npiw_err,1.2455737600302219e-05,0.0004651778437208927,0.002442103414984979,0.04981823969304345,0.017017567338273157,0.07694983787575262,0.08295639820760213,0.08685727882765638,0.0003096560323420761,0.07016197730834171,0.07411330694078273,,4.4208142499633106e-07,0.0068045926368003945,0.014363160439858172,0.5178913645389434,0.00025306549766160666,0.00022044118865605477,0.00022345796331228884,0.0007306636617052026,,0.044306497806480445,0.0597853681997554,,,,,
aaiw_err,1.6628339540540396e-05,0.0003300064011553646,,,,0.07589255343003204,,,,0.04877108058928985,0.06484963738800242,,,0.004234432013286598,,0.6147703194228515,0.00023596305676573982,0.0002142315751441899,,0.0003097554679859031,0.047313436800855264,0.05171274971536809,0.05786676567799551,9.081076115841064e-05,,,,
