,Hfree,OmegaARin,RFin,alk,alk0,alk_dic,aou,boxy,csal,dic,doc,fH,fHout,nit,osat,pCO2in,pHin,pHout,ph,phos,po,salk,sdic,sigma,sil,spice,temp,theta
surf_slope,2.5489571433138824e-05,-0.008884860849690594,0.015317054944893977,1.090033403973963,0.6410628593962033,-0.8028164884255333,,,0.013196031301884757,1.8617351309611403,,,1.9369105066354377e-05,,-0.052310513260540335,1.9405596472682582,-0.0018083351752980284,-0.0017528561467996576,-0.0015942628066877842,,,0.24802021055259252,1.1240002473588282,0.0069699209032666465,-0.010378811459198263,0.013063736394119833,,
nptw_slope,3.094482510802248e-05,-0.009779877738335541,0.01874442598538961,0.4485218228653511,0.23707404576227445,-0.9583535799001971,,,0.005432157677953452,1.4207790621417062,,-4.834506275206318e-05,8.011258288735604e-06,,-0.06357857904255655,2.1744608165961856,-0.0021113507827134224,-0.0018664283285675075,-0.0013561743773973529,-0.0015947214891099113,-0.2591669591184522,,1.1093790895144497,,,0.008359997980885435,0.015067993851798491,0.01501816190413381
ssm_slope,5.878528507841927e-05,-0.011479604861947986,0.03590449861814592,-0.2614355202096575,-0.3928616392260393,-1.161151184168757,0.3792833571273686,-0.3055392054095278,-0.006759841782291548,0.9456958657573776,-0.6332824826655142,9.567966373314196e-05,-9.769620028458049e-06,0.05288434197657755,,2.1762217077258534,-0.002049930569043782,-0.0024252143376649027,-0.002441999582486474,0.002532658290371008,0.48424703324449025,0.1460014268261449,1.3620867274448296,,0.04501532475418416,-0.011514077214994622,-0.029656265908499797,-0.029661821934619425
npiw_slope,9.114273504300048e-05,-0.0033104895663781274,0.01954818399562398,0.2754000672995466,0.05950359606709628,-0.5868966622979882,0.4253073800852279,-0.4845093550790168,0.0009690785436052166,0.7855641904400643,-0.2255050462205727,,1.3832080728634948e-06,0.05215990504189399,-0.04507405812125521,3.898787434024029,-0.0018881718252959745,-0.0016558127685654168,-0.0023059313480456277,0.004396207490419303,,0.203544132494654,0.7223897879421729,,,,,
aaiw_slope,-8.666746384915408e-05,0.0016739429006243022,,,,0.28808603704709584,,,,-0.2526100165237995,-0.3222542299160345,,,-0.012443339338943253,,-3.351789496904724,0.0012726137319805358,0.0011042982845100623,,-0.0016338366991749717,-0.18001285794588254,0.1652128511646096,-0.21919355533013968,-0.0002686431687227376,,,,
