,Hfree,OmegaARin,RFin,alk,alk0,alk_dic,aou,boxy,csal,dic,fH,fHout,nit,osat,pCO2in,pHin,pHout,pc,ph,phos,sdic,sigma,spice,temp,theta
surf_err,,0.00556324944126152,0.007320277610758243,0.6658759650991827,0.5649471187208598,0.3447927697504295,,,0.009207540706101677,0.6061603095712217,0.00015896489095571244,1.3463401084159054e-05,,,0.5448651417540776,0.000589026075933708,,0.02044707553698764,,,0.26833117098725756,0.01645545378937486,,0.03994040915581239,0.03994326177793834
nptw_err,3.0083298223507243e-05,0.009569828704478787,0.018801385082530656,0.3919030408093406,0.3065700241923414,0.8627950990568785,0.46261195615038997,0.4568493000190988,0.0047336807777507975,,5.793824043849125e-05,6.9648674148456105e-06,0.04490617654158442,0.11413688699711182,1.5922436154955883,0.0014826330387255463,0.0016077963468081136,,0.001234786349277994,0.004233188076406839,0.8108731254492884,,0.007556240460014197,0.016585226656579154,0.016426062530006672
ssm_err,4.641891415682966e-05,0.0070450614836191534,0.025872305849561884,,,0.7808656548976871,,,,0.6017933325454882,,,,,1.8471422356988854,0.0015235345568798992,0.0016665929364290495,,0.0015908654557151094,0.006432248537088613,0.7589342250018405,,,,
npiw_err,,,,,,,,,,0.4672137854254993,,,,,,,,,,,,,,,
aaiw_err,,,,,,,0.3897567319301,,,,,,,,,,,,,0.0028685872231203283,,,,,
