,Hfree,OmegaARin,RFin,alk,alk0,alk_dic,aou,boxy,csal,dic,doc,fH,fHout,nit,osat,pCO2in,pHin,pHout,pc,ph,phos,po,press,salk,sdic,sigma,sil,spice,temp,theta
surf_slope,2.4654233947761494e-05,-0.0097074181368538,0.015339160674966278,,,-0.9468048245242596,,-0.08589661414757441,,1.0497155450400928,,-0.0001025717604375697,,,-0.0920706657552731,2.0155964179154857,-0.0019539478408997016,-0.0016547406549444078,,-0.0014039249522764053,,,,0.15998189764375198,1.0729371963039789,-0.008068369384798211,,0.008272290114908798,0.02676530417473996,0.026760538406959192
nptw_slope,4.545181063135947e-05,-0.015145411456792107,0.02832661342907346,,-0.11097133215995597,-1.4537112315167287,0.13690813792288165,-0.18587458898100967,,1.3800494101843914,,,,0.013547262447130134,,2.687322939858882,-0.002582266330381456,-0.0026067117489538896,,-0.002246376402918901,0.0010275863200292354,,0.4258801021197094,,1.4598108763675428,,0.011264180444000437,,,
ssm_slope,7.335935354755934e-05,-0.012622460435327464,0.04296364116046321,-0.23633956057724928,-0.31826274066318905,-1.3750369967823595,0.3513062755576713,-0.2714447439725719,-0.005785611419419287,1.1201573211337048,-0.5191045439180599,7.93245418730866e-05,-8.357403208480066e-06,0.05813470495824001,0.08128757940064779,2.891669036269912,-0.0025520519677024174,-0.0028626887546499475,0.00342513863362631,-0.0028919965666946964,0.004095477352004459,0.5921400393136808,,0.12891810389064123,1.4611112340165129,0.0008294438831144712,0.06012014194293539,-0.00974226226803486,-0.024729901146545143,-0.024682270930299226
npiw_slope,0.00012221919262993586,-0.004113285539250737,0.02279882183400452,0.20404451019081032,0.04720147751155288,-0.7124183256196328,0.40950114177034375,-0.45409610286407975,0.0006662884348093312,0.8723429488502521,-0.24837926028145513,,9.510814036117918e-07,0.06020592150760328,-0.039678571076098686,5.024082030948,-0.0023507857014204623,-0.002129788812463811,,-0.0025230338596395688,0.005208791729454966,0.1769010986841235,-0.766329198239896,0.17170525412858545,0.8495774163879871,0.00010824631283237603,0.10958464955885039,,,
aaiw_slope,-5.668629160447747e-05,0.0011600610229118417,,0.08960231229880684,,0.21311540652788394,-0.15027808269812398,0.10538998607491458,,-0.1452367908383824,-0.31817967073948716,,,-0.011442314804890179,,-2.0930445984241812,0.0008194033623963538,0.0007181115632852755,,,-0.0010158575301207104,,-0.5252877193867487,0.09851320267673075,-0.14242704286074542,-0.000197490993664057,,,,
