,Hfree,OmegaARin,RFin,alk,alk0,alk_dic,aou,boxy,chl,csal,day,decimal_month,decimal_year,dic,doc,fH,fHout,hplc,month,nit,osat,pCO2in,pHin,pHout,pc,ph,phos,po,press,salk,sdic,sigma,sil,spice,temp,theta,year
surf_err,1.0339811932211737e-06,0.0004989916874526428,0.0006459271528209268,0.08900637798529452,0.07110496125443545,0.03857659474201378,0.011565068399830408,0.015331570671161684,0.00016813530243576234,0.0012047715294551842,0.04754430034360265,0.011813580048953623,0.0,0.07957640092263718,0.522553924772418,1.3031305943499517e-05,1.7662834232632638e-06,0.16166182658633202,0.011844196291792336,0.000264767116801905,0.009836770317497042,0.05566112154916798,5.8885930344083574e-05,6.966391618948821e-05,0.0023000714903817065,6.210530875372247e-05,0.00020583135374992344,0.04224048790337371,0.007317487782641544,0.02523947226252736,0.03068035470499382,0.0016171916332999212,0.0020846575681282087,0.0009353695001697041,0.0031348183324007278,0.0031346174109546814,0.0009844650040805138
nptw_err,2.0678708878930045e-06,0.0007744754669271565,0.001315110308426367,0.05648519794579532,0.033768359003209396,0.07437712597482132,0.039606252204132296,0.03753049007574608,0.00033395920231635247,0.0006000828692897248,0.04754430034360265,0.011813580048953623,0.0,0.04344840698058416,0.5612846873904026,5.7810832486841475e-06,8.839254808714e-07,0.5022083448167479,0.011844196291792336,0.003046051864600718,0.010747046406333697,0.10388176171751148,0.00010400990250898771,0.00011720205853785854,0.0024192812399631883,0.00012383123415188145,0.0003574201081920004,0.03652106140921131,0.1104129092356497,0.03153283534891472,0.05887428089033228,0.0002547739223203686,0.002703239997483653,0.0008977762643730035,0.0017277492534892788,0.0017234615423388315,0.0009844650040805138
ssm_err,4.179327012641256e-06,0.0006167398616647875,0.002187009666062826,0.036582876964602246,0.017880705327895225,0.06882076784496452,0.05632658959232285,0.05288339454371009,0.00027834604219715463,0.0003279819356728667,0.04765553758197499,0.011845035988242512,0.0,0.05701433708754755,0.048980926947977066,7.284260813736315e-06,4.7419679751918765e-07,0.4899567453010534,0.011862157881309149,0.006190633749178356,0.012680605498284307,0.17670941523775197,0.0001372472474823267,0.0001449952541992199,0.0010655544345328889,0.0001626788023651329,0.0005563017813822456,0.05713391588155281,0.11552867359013654,0.029623396572843415,0.06923842989171157,0.00025917219927872146,0.006238097616228787,0.0006947443409343327,0.002104708298876194,0.002101734188832297,0.0009870863323518987
npiw_err,8.15855623929962e-06,0.0002911268504252193,0.0014753962825555414,0.030159314043998988,0.011555169475390712,0.047894073294155175,0.052972017388412486,0.05523115079372894,,0.00020973078527935908,0.04754430034360265,0.011813580048953623,0.0,0.04322401213076487,0.04328815107547844,3.887039061974461e-06,2.9942405211901956e-07,,0.011844196291792336,0.00431323322875235,0.00944891606808824,0.3389978088699073,0.0001618805875723014,0.00014101044883873927,0.004357142260913658,0.0001336227697155147,0.00046068352841331336,0.04398811970683025,0.11123051992278675,0.027329180503865343,0.037331747355168435,3.740006904526952e-05,0.012104320656233954,0.000337823387101455,0.0012079261701780245,0.0012037175234611928,0.0009844650040805138
aaiw_err,1.0091928291551325e-05,0.0002004287841876903,0.00027538779849255353,0.03155691233294715,0.009847669297297454,0.045978043358351824,0.029890337967004195,0.028046807054048866,,0.00017130827169805658,0.04754430034360265,0.011813580048953623,0.0,0.031265483796799415,0.037833611786751244,3.5446488304359113e-06,2.4630247221745903e-07,,0.011844196291792336,0.002675490048962269,0.007706428856425367,0.37435030805325153,0.00014346126767564066,0.00013022487758658721,0.004511741311649653,9.893350039822256e-05,0.00020973779714021805,0.031047467768293237,0.1170599028971858,0.03205972504502574,0.037286923657943234,6.438643278884545e-05,0.022359805913272933,0.000243784198921694,0.0010700175085044986,0.0010640327590553406,0.0009844650040805138
